,Srno,RecipeName,Ingredients,TranslatedIngredients,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
54,60,Pan Fried Rice Balls Filled With Cheese Recipe,"2 tablespoon Extra Virgin Olive Oil,2 tablespoon Butter (unsalted),1 Onion - finely chopped,2 cups Jasmine Rice,1 teaspoon Salt,1 cup Sweet corn,1/4 cup Parsley leaves - finely chopped,1 cup Parmesan cheese - grated,1 cup Mozzarella cheese - cut into small cubes,1 cup All Purpose Flour (Maida),3 Whole Eggs - beaten with a fork,1 cup Whole Wheat Bread crumbs,Sunflower Oil - for deep frying","2 tablespoon Extra Virgin Olive Oil,2 tablespoon Butter (unsalted),1 Onion - finely chopped,2 cups Jasmine Rice,1 teaspoon Salt,1 cup Sweet corn,1/4 cup Parsley leaves - finely chopped,1 cup Parmesan cheese - grated,1 cup Mozzarella cheese - cut into small cubes,1 cup All Purpose Flour (Maida),3 Whole Eggs - beaten with a fork,1 cup Whole Wheat Bread crumbs,Sunflower Oil - for deep frying",Continental,Appetizer,Vegetarian,"To begin with the Pan Fried Rice Balls Filled With Cheese Recipe, first in a heavy bottomed pot, heat oil over medium heat and add some butter. As the butter melts, add diced onion and saute until soft for about 4-5 minutesAdd rice and give a stir to coat with oil.Now add 5 cups of water to the rice and 1 teaspoon of salt. Cover and cook until water has been completely absorbed by the rice.Stir in the corn and cook covered for another 5 minutes and check if the rice has cooked and absorbed all the water. Allow it to cool. Once cooled, combine parsley and parmesan cheese to the mixture.Make rice balls using hand and stuff each ball with a small cube of mozzarella cheese in the centre. The cheese cube should be totally covered with the rice mixture.Arrange flour in a bowl, 3 beaten eggs in another and breadcrumbs in the third ballCoat the rice balls with all purpose flour. Shake off the excess flour. Dip the balls in the beaten egg. Finally, roll balls in breadcrumbs until it is evenly coated with it. Repeat for the remaining balls. Heat some oil in skillet over medium flame. Once hot add the coated rice balls in batches and cook until they turn golden brown.Your Pan Fried Rice Balls Filled With Cheese Recipe is ready to be served.Serve the Pan Fried Rice Balls Filled With Cheese Recipe with classic Marinara sauce or ranch for evening snack.
","To begin with the Pan Fried Rice Balls Filled With Cheese Recipe, first in a heavy bottomed pot, heat oil over medium heat and add some butter. As the butter melts, add diced onion and saute until soft for about 4-5 minutesAdd rice and give a stir to coat with oil.Now add 5 cups of water to the rice and 1 teaspoon of salt. Cover and cook until water has been completely absorbed by the rice.Stir in the corn and cook covered for another 5 minutes and check if the rice has cooked and absorbed all the water. Allow it to cool. Once cooled, combine parsley and parmesan cheese to the mixture.Make rice balls using hand and stuff each ball with a small cube of mozzarella cheese in the centre. The cheese cube should be totally covered with the rice mixture.Arrange flour in a bowl, 3 beaten eggs in another and breadcrumbs in the third ballCoat the rice balls with all purpose flour. Shake off the excess flour. Dip the balls in the beaten egg. Finally, roll balls in breadcrumbs until it is evenly coated with it. Repeat for the remaining balls. Heat some oil in skillet over medium flame. Once hot add the coated rice balls in batches and cook until they turn golden brown.Your Pan Fried Rice Balls Filled With Cheese Recipe is ready to be served.Serve the Pan Fried Rice Balls Filled With Cheese Recipe with classic Marinara sauce or ranch for evening snack.",http://www.archanaskitchen.com/pan-fried-rice-balls-filled-with-cheese-recipe
55,61,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"250 grams Fish fillet - basa,250 grams Prawns,15 Clamps,5 Baby Potatoes,2 Carrots (Gajjar),1 Onion,1 Tomato,2 Fresh Red chillies,5 cloves Garlic,1 teaspoon Cumin powder (Jeera),2 teaspoon Paprika powder,Salt - to taste,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,4 tablespoon Coriander (Dhania) Leaves,1 tablespoon Extra Virgin Olive Oil,1 cup Chicken stock,1/4 cup Coconut milk","250 grams Fish fillet - basa,250 grams Prawns,15 Clamps,5 Baby Potatoes,2 Carrots (Gajjar),1 Onion,1 Tomato,2 Fresh Red chillies,5 cloves Garlic,1 teaspoon Cumin powder (Jeera),2 teaspoon Paprika powder,Salt - to taste,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,4 tablespoon Coriander (Dhania) Leaves,1 tablespoon Extra Virgin Olive Oil,1 cup Chicken stock,1/4 cup Coconut milk",South Indian Recipes,Lunch,Non Vegeterian,"To begin making the Spicy Seafood Stew Casserole With Tomatoes And Lime recipe, clean basa fish and cut into small pieces. Clean, wash and devein the prawns. Wash well.I could not get clamps so I did not use it in the recipe but I highly recommend you to use it.Now marinate seafood in lime juice, 1 teaspoon salt and pepper powder for about 30 minutes. Let it marinate in the fridge.While the seafood is marinating in fridge, we will prepare the stew.In a wide pan, heat olive oil. Add minced garlic and sauté till garlic turns golden brown. Add finely chopped onions and finely chopped red chilies. Cook till onions turn soft.Add finely chopped tomatoes and cook until tomatoes turn mushy.Add cumin powder, paprika power and remaining salt to taste. Add peeled potatoes and chopped carrots and give it a mix.Add chicken stock and bring it to boil. Cook till potatoes and carrots are fully cooked. Check for seasoning. Boil the stew for 5 to 8 minutes more. Add more stock if needed.Now add the marinated seafood and cook in low flame for about 8 to 10 minutes.Once the seafood is cooked, add coconut milk and continue to cook for a minute or two.Turn off the stove, add fresh chopped coriander leaves and serve hot with toasted bread.Serve Spicy Seafood Stew Casserole With Tomatoes And Lime along with steamed rice for a weekend lunch or dinner.
","To begin making the Spicy Seafood Stew Casserole With Tomatoes And Lime recipe, clean basa fish and cut into small pieces. Clean, wash and devein the prawns. Wash well.I could not get clamps so I did not use it in the recipe but I highly recommend you to use it.Now marinate seafood in lime juice, 1 teaspoon salt and pepper powder for about 30 minutes. Let it marinate in the fridge.While the seafood is marinating in fridge, we will prepare the stew.In a wide pan, heat olive oil. Add minced garlic and sauté till garlic turns golden brown. Add finely chopped onions and finely chopped red chilies. Cook till onions turn soft.Add finely chopped tomatoes and cook until tomatoes turn mushy.Add cumin powder, paprika power and remaining salt to taste. Add peeled potatoes and chopped carrots and give it a mix.Add chicken stock and bring it to boil. Cook till potatoes and carrots are fully cooked. Check for seasoning. Boil the stew for 5 to 8 minutes more. Add more stock if needed.Now add the marinated seafood and cook in low flame for about 8 to 10 minutes.Once the seafood is cooked, add coconut milk and continue to cook for a minute or two.Turn off the stove, add fresh chopped coriander leaves and serve hot with toasted bread.Serve Spicy Seafood Stew Casserole With Tomatoes And Lime along with steamed rice for a weekend lunch or dinner.",https://www.archanaskitchen.com/spicy-seafood-stew-casserole-with-tomatoes-and-lime-recipe
56,64,Spicy Chilli Garlic Noodles Recipe,"500 grams Hakka Noodles,Water - as required,1/2 teaspoon Salt,1 tablespoon Sunflower Oil,Sunflower Oil - as required,1 Onion - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,15 cloves Garlic - crushed,1 teaspoon Soy sauce,1 tablespoon Red Chilli sauce,1/2 teaspoon White vinegar,1 tablespoon Tomato Ketchup,3 Dry Red Chillies - crushed (chilli flakes),Salt - as required,1/2 teaspoon Black pepper powder","500 grams Hakka Noodles,Water - as required,1/2 teaspoon Salt,1 tablespoon Sunflower Oil,Sunflower Oil - as required,1 Onion - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,15 cloves Garlic - crushed,1 teaspoon Soy sauce,1 tablespoon Red Chilli sauce,1/2 teaspoon White vinegar,1 tablespoon Tomato Ketchup,3 Dry Red Chillies - crushed (chilli flakes),Salt - as required,1/2 teaspoon Black pepper powder",Asian,Dinner,Vegetarian,"To begin making the Spicy Chilli Garlic Noodles recipe, first cook the noodles as per the instructions on the packet, with enough water, salt and oil.Put a pot of water with oil and salt, on the heat and bring it to a rolling boil.When it boils, turn the heat down, add the noodles to it and cook for 5-6 minutes or as specified on the packet, till it is cooked al dente.Take care not to over cook the noodles or they may turn mushy. When the noodles are done, drain the noodles in a colander and rinse under cold water to stop the cooking process.Sprinkle a few drops of oil over the noodles and toss well till they are well coated. This will keep the noodles from getting mushy and stuck to each other. Now you can keep them aside for later use.To begin making the spicy seasoning, place a heavy bottomed pan on the heat. Add some oil and warm it up. Then add the finely chopped garlic and thin slices of onions and toss on a high heat for a minute.Add the capsicum and cook it for about a minute or two.Add soya sauce, red chilli sauce, vinegar, tomato ketchup, crushed dry red chilli and mix well. Cook with constant stirring for about 30 seconds till the sauces begin to bubble.Add salt to taste, pepper powder and mix well. Bear in mind that the sauce and noodles will already contain saltiness so season accordingly.Next, add the cooked noodles to the prepared sauce and toss well to cot the noodles.Serve Spicy Chilli Garlic Noodles on its own or with Mushroom Chilli for a weekend meal.
","To begin making the Spicy Chilli Garlic Noodles recipe, first cook the noodles as per the instructions on the packet, with enough water, salt and oil.Put a pot of water with oil and salt, on the heat and bring it to a rolling boil.When it boils, turn the heat down, add the noodles to it and cook for 5-6 minutes or as specified on the packet, till it is cooked al dente.Take care not to over cook the noodles or they may turn mushy. When the noodles are done, drain the noodles in a colander and rinse under cold water to stop the cooking process.Sprinkle a few drops of oil over the noodles and toss well till they are well coated. This will keep the noodles from getting mushy and stuck to each other. Now you can keep them aside for later use.To begin making the spicy seasoning, place a heavy bottomed pan on the heat. Add some oil and warm it up. Then add the finely chopped garlic and thin slices of onions and toss on a high heat for a minute.Add the capsicum and cook it for about a minute or two.Add soya sauce, red chilli sauce, vinegar, tomato ketchup, crushed dry red chilli and mix well. Cook with constant stirring for about 30 seconds till the sauces begin to bubble.Add salt to taste, pepper powder and mix well. Bear in mind that the sauce and noodles will already contain saltiness so season accordingly.Next, add the cooked noodles to the prepared sauce and toss well to cot the noodles.Serve Spicy Chilli Garlic Noodles on its own or with Mushroom Chilli for a weekend meal.",http://www.archanaskitchen.com/spicy-chilli-garlic-noodles-recipe
57,65,Chanar Dalna Recipe -Bengali Style Paneer & Potato Gravy,"200 grams Paneer (Homemade Cottage Cheese) - cut into cubes,2 Potato (Aloo) - peeled and cut into cubes,2 Bay leaf (tej patta),2 Dry Red Chilli,1 tablespoon Panch Phoran Masala - roasted and powdered,1 Tomato - big sized,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera) - roasted and powdered,1 teaspoon Ginger - grated,Salt - to taste,1/2 teaspoon Sugar,Sunflower Oil - as required","200 grams Paneer (Homemade Cottage Cheese) - cut into cubes,2 Potato (Aloo) - peeled and cut into cubes,2 Bay leaf (tej patta),2 Dry Red Chilli,1 tablespoon Panch Phoran Masala - roasted and powdered,1 Tomato - big sized,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera) - roasted and powdered,1 teaspoon Ginger - grated,Salt - to taste,1/2 teaspoon Sugar,Sunflower Oil - as required",Bengali Recipes,Lunch,Vegetarian,"To begin making the Chanar Dalna recipe, grind roasted cumin and grated ginger in a mortar pestle.Mix red chilly powder and turmeric in a tablespoon of water and set it aside.In a heavy bottomed pan heat oil, add cubed potatoes and fry till the edges turn brown. Set it aside.Add Paneer cubes to the same oil and fry till they turn gold. Set it aside.Add bay leaf and dry red chilly to the same pan. Add cumin and ginger paste and saute till it turns brown.Add red chilly and turmeric paste and mix it well, till the raw smell is gone.Add chopped tomato and cook till it is cooked well and oil separates. Add Paneer and Potato cubes to this. Cook for a minute.Add 2 cups of water and cook till the potatoes are soft. Add powdered paanch phoran and give it a good mix.Boil till the gravy till it reaches the desired consistency and turn off the heat.Serve Chanar Dalna with steamed rice and Bengali Luchi and Watermelon Smoothie Recipe for a weekend brunch.
","To begin making the Chanar Dalna recipe, grind roasted cumin and grated ginger in a mortar pestle.Mix red chilly powder and turmeric in a tablespoon of water and set it aside.In a heavy bottomed pan heat oil, add cubed potatoes and fry till the edges turn brown. Set it aside.Add Paneer cubes to the same oil and fry till they turn gold. Set it aside.Add bay leaf and dry red chilly to the same pan. Add cumin and ginger paste and saute till it turns brown.Add red chilly and turmeric paste and mix it well, till the raw smell is gone.Add chopped tomato and cook till it is cooked well and oil separates. Add Paneer and Potato cubes to this. Cook for a minute.Add 2 cups of water and cook till the potatoes are soft. Add powdered paanch phoran and give it a good mix.Boil till the gravy till it reaches the desired consistency and turn off the heat.Serve Chanar Dalna with steamed rice and Bengali Luchi and Watermelon Smoothie Recipe for a weekend brunch.",https://www.archanaskitchen.com/chanar-dalna-recipe-bengali-style-paneer-potato-gravy
58,66,Cheesy Garlic Broccoli Nuggets Recipe,"1-1/2 cups Broccoli - florets,1/2 cup Mozzarella cheese,1 tablespoon Nutralite Cheesy Garlic Mayo,2 tablespoons Corn flour,1/4 cup Whole Wheat Bread crumbs,Salt - to taste,Nutralite Garlic & Oregano Spread - for pan roasting","1-1/2 cups Broccoli - florets,1/2 cup Mozzarella cheese,1 tablespoon Nutralite Cheesy Garlic Mayo,2 tablespoons Corn flour,1/4 cup Whole Wheat Bread crumbs,Salt - to taste,Nutralite Garlic & Oregano Spread - for pan roasting",Indian,Snack,Eggetarian,"To begin making Cheesy Garlic Broccoli Nuggets Recipe, firstly wash and then finely chop the broccoli florets. Melt Nutralite Garlic & Oregano Spread in a pan, add the broccoli and saute it for about a minute until it softens just a bit.Once it softens, allow it to cool completely. Once the broccoli florets have cooled down, add in the cheese, Cheesy Garlic Mayo, corn flour and salt and mix well. Have a taste to check for salt and seasoning and adjust accordingly.Take a small quantity of the Cheesy Garlic Broccoli Nuggets mixture and shape it into small oval kebab size portions. Toss these Cheesy Garlic Broccoli Nuggets on breadcrumbs to give it a crust.Heat a skillet and melt a little Nutralite Garlic & Oregano spread over medium heat.Place the Cheesy Garlic Broccoli Nuggets and pan fry them on both sides until they are browned and crisp.Serve Cheesy Garlic Broccoli Nuggets Recipe along with a Cocoa Banana Almond Date Smoothie as an after school snack for your kids or even as a party appetizer along with Nutralite Achari Mayo as a dip by the side.
","To begin making Cheesy Garlic Broccoli Nuggets Recipe, firstly wash and then finely chop the broccoli florets. Melt Nutralite Garlic & Oregano Spread in a pan, add the broccoli and saute it for about a minute until it softens just a bit.Once it softens, allow it to cool completely. Once the broccoli florets have cooled down, add in the cheese, Cheesy Garlic Mayo, corn flour and salt and mix well. Have a taste to check for salt and seasoning and adjust accordingly.Take a small quantity of the Cheesy Garlic Broccoli Nuggets mixture and shape it into small oval kebab size portions. Toss these Cheesy Garlic Broccoli Nuggets on breadcrumbs to give it a crust.Heat a skillet and melt a little Nutralite Garlic & Oregano spread over medium heat.Place the Cheesy Garlic Broccoli Nuggets and pan fry them on both sides until they are browned and crisp.Serve Cheesy Garlic Broccoli Nuggets Recipe along with a Cocoa Banana Almond Date Smoothie as an after school snack for your kids or even as a party appetizer along with Nutralite Achari Mayo as a dip by the side.",https://www.archanaskitchen.com/broccoli-nuggets-recipe
59,67,Bengali Mooli Aloo Ki Sabzi  Recipe,"3 Mooli/ Mullangi (Radish) - cut into small piece,2 Potato (Aloo) - cut into small piece,1 Onion - chopped,1 Green Chilli - chopped,3 tablespoons Kasundi mustard sauce,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Kalonji (Onion Nigella Seeds),1 tablespoon Mustard oil - adjustable,1/2 teaspoon Sugar,Salt - to taste","3 Mooli/ Mullangi (Radish) - cut into small piece,2 Potato (Aloo) - cut into small piece,1 Onion - chopped,1 Green Chilli - chopped,3 tablespoons Kasundi mustard sauce,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Kalonji (Onion Nigella Seeds),1 tablespoon Mustard oil - adjustable,1/2 teaspoon Sugar,Salt - to taste",Bengali Recipes,Lunch,Vegetarian,"To begin making the Bengali Mooli Aloo Ki Sabzi recipe, heat mustard oil in a heavy bottomed pan.Add the mustard seeds, cumin seeds, nigella seeds and saute them for about 10 seconds.After 10 seconds, add green chilli and onion. Cook till the onion becomes soft and translucent. Once the onions become translucent, add the potatoes in the pan. Stir them for a while on a medium heat. Then put the radish into the pan. Fry them for 4-5 minutes on a medium flame.Next add in all the spice powders, red chilli powder, turmeric powder, sugar and salt to taste. Mix well to combine.Add little water to the vegetables and cover them with a lid. Allow them cook for few minutes on a low flame and keep stirring in between.When the veggies are cooked, add the the mustard paste and mix it with the vegetables properly. You can make the curry semi liquid or dry. Cook for 2 more minutes and turn off the heat.Transfer Bengali Mooli Aloo Ki Sabzi into a serving bowl.Serve Bengali Mooli Aloo Ki Sabzi along with Bengali Style Lau Die Tetor Dal and Steamed Rice for a weekday lunch. 
","To begin making the Bengali Mooli Aloo Ki Sabzi recipe, heat mustard oil in a heavy bottomed pan.Add the mustard seeds, cumin seeds, nigella seeds and saute them for about 10 seconds.After 10 seconds, add green chilli and onion. Cook till the onion becomes soft and translucent. Once the onions become translucent, add the potatoes in the pan. Stir them for a while on a medium heat. Then put the radish into the pan. Fry them for 4-5 minutes on a medium flame.Next add in all the spice powders, red chilli powder, turmeric powder, sugar and salt to taste. Mix well to combine.Add little water to the vegetables and cover them with a lid. Allow them cook for few minutes on a low flame and keep stirring in between.When the veggies are cooked, add the the mustard paste and mix it with the vegetables properly. You can make the curry semi liquid or dry. Cook for 2 more minutes and turn off the heat.Transfer Bengali Mooli Aloo Ki Sabzi into a serving bowl.Serve Bengali Mooli Aloo Ki Sabzi along with Bengali Style Lau Die Tetor Dal and Steamed Rice for a weekday lunch. ",https://www.archanaskitchen.com/bengali-mooli-aloo-ki-sabzi-in-mustard-gravy-recipe
60,68,चकुंदर सांबर रेसिपी - Beetroot Sambar (Recipe In Hindi),"1 चकुंदर - छीलकर काट ले,1 कप अरहर दाल,1-1/2 कप इमली का पानी,1 बड़ा चमच्च सांबर पाउडर,1 छोटा चमच्च राइ,हींग - चुटकी भर,5 कढ़ी पत्ता - काट ले,1 सुखी लाल मिर्च,1 छोटा चमच्च तिल का तेल,4 टहनी हरा धनिया - काट ले (गार्निश के लिए),नमक - स्वाद अनुसार","1 chakundar - peel and chop, 1 cup arhar dal, 1-1 / 2 cup tamarind water, 1 tablespoon sambar powder, 1 teaspoon mustard, asafoetida - a pinch, 5 curry leaves - chopped, 1 dry red chili, 1 teaspoon sesame oil, 4 sprig coriander - chopped (for garnish), salt - as per taste",South Indian Recipes,Lunch,High Protein Vegetarian,"चकुंदर सांबर बनाने के लिए सबसे पहले, तुअर दाल को 2 कप पानी के साथ कुकर में डाले और 3 सिटी आने तक पका ले. अगर आपको दाल गाढ़ी लगे, इसमें थोड़ा और पानी डाले और अच्छी तरह से मिला ले.  अब एक प्रेशर कुकर में चकुंदर के साथ इमली का पानी, नमक और सांबर पाउडर डाले। कुकर बंद करें और 3 सिटी आने तक पका ले. गैस बंद करें और प्रेशर अपने आप निकलने दे. अब एक सॉसपैन में चकुंदर का मिश्रण, तुअर दाल, नमक डाले और मिला ले. उबलने के लिए रख ले. अब तड़के के लिए तेल गरम करें। इसमें राइ और सुखी लाल मिर्च डाले। 10 सेकण्ड्स बाद इसमें कढ़ी पत्ता, हींग डाले और गैस बंद कर ले. इस तड़के को सांबर में डाले और मिला ले. हरे धनिये से गार्निश करें और परोसे। चकुंदर सांबर को आलू रोस्ट और चावल के साथ दिन के खाने के लिए परोसे।
","To make Chakundar Sambar, firstly, put the tur dal in the cooker with 2 cups of water and cook it till 3 cities come. If you find the lentils thick, add a little more water to it and mix well. Now in a pressure cooker, add tamarind water, salt and sambar powder along with chakundar. Turn off the cooker and cook till 3 cities come. Turn off the gas and let the pressure drain automatically. Now add chakundar mixture, tur dal, salt and mix in a saucepan. Keep it to boil. Now heat the oil for tempering. Add mustard seeds and dry red chilies. After 10 seconds, add curry leaves, asafoetida and turn off the gas. Add this tempering to the sambar and mix. Garnish with green coriander and serve. Serve the Chakundar Sambar with potato roast and rice for dinner.",http://www.archanaskitchen.com/beetroot-sambar-recipe-in-hindi
61,69,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis","1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis",North Indian Recipes,Indian Breakfast,High Protein Vegetarian,"To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them. In a large bowl, add flour, pumpkin, spinach, spice powders, and salt. Combine them well.Add water little by little and mix them well to form a tight dough. Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls. Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame. Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough. Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney.
","To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them. In a large bowl, add flour, pumpkin, spinach, spice powders, and salt. Combine them well.Add water little by little and mix them well to form a tight dough. Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls. Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame. Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough. Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney.",http://www.archanaskitchen.com/kaddu-palak-roti-recipe-pumpkin-spinach-flat-bread
62,70,Iranian Baida Curry Recipe,"4 Whole Egg,1 Onion - chopped,1 tablespoon Jaggery,Salt - to taste,Sunflower Oil,1 sprig Coriander (Dhania) Leaves,1/4 cup Fresh coconut - grated,2 tablespoon Coriander (Dhania) Seeds,3 Dry Red Chilli,1 tablespoon Sesame seeds (Til seeds),1 tablespoon Poppy seeds,1 inch Ginger - chopped,5 cloves Garlic - chopped,8 Badam (Almond)","4 Whole Egg,1 Onion - chopped,1 tablespoon Jaggery,Salt - to taste,Sunflower Oil,1 sprig Coriander (Dhania) Leaves,1/4 cup Fresh coconut - grated,2 tablespoon Coriander (Dhania) Seeds,3 Dry Red Chilli,1 tablespoon Sesame seeds (Til seeds),1 tablespoon Poppy seeds,1 inch Ginger - chopped,5 cloves Garlic - chopped,8 Badam (Almond)",Middle Eastern,Lunch,Eggetarian,"To begin making the Iranian Baida Curry Recipe, boil the whole egg in water, make sure the eggs are fully immersed.Boil them for at least 15 minutes until the eggs are completely cooked and keep them aside to de shell them once it cools down.Dry roast the ingredients mentioned in the list to grind on to a pan, once done cool it down and grind it into a smooth paste by adding little water.Heat a kadai with oil, add onions and saute them until it turns golden brown. Add the ground masala paste. Saute for 10 minutes.Add 1 cup of water along with jaggery and bring it to a boil. Check for salt and adjust according to your palate.Finally, de-shell the eggs, cut them into half and drop them into the boiling curry. Boil the curry for 2 more minutes and switch it off. Serve by garnishing it with some coriander leaves.Serve the Iranian Baida Curry Recipe along with Garlic naan, Chapathi and some steamed rice along with Moong Sprouts Salad with Grated Carrots and Coriander.
","To begin making the Iranian Baida Curry Recipe, boil the whole egg in water, make sure the eggs are fully immersed.Boil them for at least 15 minutes until the eggs are completely cooked and keep them aside to de shell them once it cools down.Dry roast the ingredients mentioned in the list to grind on to a pan, once done cool it down and grind it into a smooth paste by adding little water.Heat a kadai with oil, add onions and saute them until it turns golden brown. Add the ground masala paste. Saute for 10 minutes.Add 1 cup of water along with jaggery and bring it to a boil. Check for salt and adjust according to your palate.Finally, de-shell the eggs, cut them into half and drop them into the boiling curry. Boil the curry for 2 more minutes and switch it off. Serve by garnishing it with some coriander leaves.Serve the Iranian Baida Curry Recipe along with Garlic naan, Chapathi and some steamed rice along with Moong Sprouts Salad with Grated Carrots and Coriander.",https://www.archanaskitchen.com/iranian-baida-curry-recipe
63,71,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking","1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking",North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,"To begin making the Vegan Chickpea Omelette Recipe, first place a non-stick griddle/tava on the heat. Turn the heat to low so it can slowly pre-heat while you prepare the batter.To make the batter, sieve the chickpea flour/besan into a mixing bowl to remove all lumps.To it, add the ginger-garlic paste, ajwain, asafoetida, turmeric powder, baking soda, onion, tomato, green chillies, Coriander leaves and salt. Mix well to combine.Next, stir in the coconut milk (or Soy or Almond milk), if using, and mix to make a smooth batter.Alternatively, add enough water to make a batter which is smooth and spreadable, but not too watery/runny.When the griddle is hot enough, pour a ladle full of the batter on it and spread evenly into a round pancake.Drizzle oil along the edges of the omelette and cook for 2-3 minutes, on medium heat till the bottom is golden brown. Lift it gently with a spatula to check if it releases and if that bottom has cooked.When it looks golden, flip the omelette over and cook on the other side for 1-2 minutes.Serve hot along with Peanut Carrot Chutney.
","To begin making the Vegan Chickpea Omelette Recipe, first place a non-stick griddle/tava on the heat. Turn the heat to low so it can slowly pre-heat while you prepare the batter.To make the batter, sieve the chickpea flour/besan into a mixing bowl to remove all lumps.To it, add the ginger-garlic paste, ajwain, asafoetida, turmeric powder, baking soda, onion, tomato, green chillies, Coriander leaves and salt. Mix well to combine.Next, stir in the coconut milk (or Soy or Almond milk), if using, and mix to make a smooth batter.Alternatively, add enough water to make a batter which is smooth and spreadable, but not too watery/runny.When the griddle is hot enough, pour a ladle full of the batter on it and spread evenly into a round pancake.Drizzle oil along the edges of the omelette and cook for 2-3 minutes, on medium heat till the bottom is golden brown. Lift it gently with a spatula to check if it releases and if that bottom has cooked.When it looks golden, flip the omelette over and cook on the other side for 1-2 minutes.Serve hot along with Peanut Carrot Chutney.",http://www.archanaskitchen.com/vegan-chickpea-omelette-recipe-spiced-chickpea-flour-pancakes
